| People and Society | ECUADOR |
| Major urban areas - population: | Guayaquil 2.709 million; QUITO (capital) 1.726 million (2015) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.03 male(s)/female |
| Sex ratio: | 25-54 years: 0.95 male(s)/female |
| Sex ratio: | 55-64 years: 0.96 male(s)/female |
| Sex ratio: | 65 years and over: 0.91 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2016 est.) |
| Maternal mortality rate: | 64 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 16.4 deaths/1,000 live births |
| Infant mortality rate: | male: 19.4 deaths/1,000 live births |
| Infant mortality rate: | female: 13.2 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 77 years |
| Life expectancy at birth: | male: 74 years |
| Life expectancy at birth: | female: 80.1 years (2017 est.) |
| Total fertility rate: | 2.19 children born/woman (2017 est.) |
| Contraceptive prevalence rate: | 80.1% (2007/12) |
| Health expenditures: | 9.2% of GDP (2014) |
| Physicians density: | 1.67 physicians/1,000 population (2011) |
| Hospital bed density: | 1.6 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 93.4% of population |
| Drinking water source: | rural: 75.5% of population |
| Drinking water source: | total: 86.9% of population |
| unimproved: | urban: 6.6% of population |
| unimproved: | rural: 24.5% of population |
| unimproved: | total: 13.1% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 87% of population |
| Sanitation facility access: | rural: 80.7% of population |
| Sanitation facility access: | total: 84.7% of population |
| unimproved: | urban: 13% of population |
| unimproved: | rural: 19.3% of population |
| unimproved: | total: 15.3% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.3% (2016 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 33,000 (2016 est.) |
| HIV/AIDS - deaths: | <1000 (2016 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever and malaria |
| Major infectious diseases: | note: active local transmission of Zika virus by Aedes species mosquitoes has been identified in this country (as of August 2016); it poses an important risk (a large number of cases possible) among US citizens if bitten by an infective mosquito; other less common ways to get Zika are through sex, via blood transfusion, or during pregnancy, in which the pregnant woman passes Zika virus to her fetus (2016) |
| Obesity - adult prevalence rate: | 19.9% (2016) |
| Children under the age of 5 years underweight: | 6.4% (2012) |
| Education expenditures: | 4.9% of GDP (2015) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 94.4% |
| Literacy: | male: 95.4% |
| Literacy: | female: 93.3% (2016 est.) |
| School life expectancy (primary to tertiary education): | total: 15 years |
| School life expectancy (primary to tertiary education): | male: 15 years |
| School life expectancy (primary to tertiary education): | female: 16 years (2012) |
| Unemployment, youth ages 15-24: | total: 11.8% |
| Unemployment, youth ages 15-24: | male: 9.4% |
| Unemployment, youth ages 15-24: | female: 15.7% (2015 est.) |
