| People and Society | India |
| Major urban areas - population: | 30.291Â million NEW DELHI (capital), 20.411 million Mumbai, 14.850 million Kolkata, 1.237 million Bangalore, 10.971 million Chennai,Â 10.004 million Hyderabad (2020) |
| Sex ratio: | at birth: 1.11 male(s)/female |
| Sex ratio: | 0-14 years: 1.13 male(s)/female |
| Sex ratio: | 15-24 years: 1.14 male(s)/female |
| Sex ratio: | 25-54 years: 1.07 male(s)/female |
| Sex ratio: | 55-64 years: 1 male(s)/female |
| Sex ratio: | 65 years and over: 0.89 male(s)/female |
| Sex ratio: | total population: 1.08 male(s)/female (2020 est.) |
| Maternal mortality rate: | 145 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 35.4 deaths/1,000 live births |
| Infant mortality rate: | male: 34.4 deaths/1,000 live births |
| Infant mortality rate: | female: 36.5 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 69.7 years |
| Life expectancy at birth: | male: 68.4 years |
| Life expectancy at birth: | female: 71.2 years (2020 est.) |
| Total fertility rate: | 2.35 children born/woman (2020 est.) |
| Contraceptive prevalence rate: | 53.5% (2015/16) |
| Drinking water source: | improved: urban: 96% of population |
| Drinking water source: | rural: 91% of population |
| Drinking water source: | total: 92.7% of population |
| Drinking water source: | unimproved: urban: 4% of population |
| Drinking water source: | rural: 9% of population |
| Drinking water source: | total: 7.2% of population (2017 est.) |
| Current Health Expenditure: | 3.5% (2017) |
| Physicians density: | 0.78 physicians/1,000 population (2017) |
| Hospital bed density: | 0.5 beds/1,000 population (2017) |
| Sanitation facility access: | improved: urban: 93.7% of population |
| Sanitation facility access: | rural: 61.1% of population |
| Sanitation facility access: | total: 72% of population |
| Sanitation facility access: | unimproved: urban: 6.3% of population |
| Sanitation facility access: | rural: 38.9% of population |
| Sanitation facility access: | total: 28% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | 0.2% (2017 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 2.1 million (2017 est.) |
| HIV/AIDS - deaths: | 69,000 (2017 est.) |
| Major infectious diseases: | degree of risk: very high (2020) |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A and E, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever, Crimean-Congo hemorrhagic fever, Japanese encephalitis, and malaria |
| Major infectious diseases: | water contact diseases: leptospirosis |
| Major infectious diseases: | animal contact diseases: rabies |
| Major infectious diseases: | note: clusters of cases of a respiratory illness caused by the novel coronavirus (COVID-19) are being reported across 27 States and Union Territories in India; as of 8 December 2020, India has reported a total of 9,644,222 cases of COVID-19 or 6,989 cumulative cases of COVID-19 per 1 million population with 102 cumulative deaths per 1 million population; on 16 March 2020, the government proposed extensive social distancing measures, including closure of all schools, museums, and cultural and social centers; prohibited gatherings of more than 50 people; and called on the public to avoid all non-essential travel; international commercial passenger flights remain suspended |
| Obesity - adult prevalence rate: | 3.9% (2016) |
| Children under the age of 5 years underweight: | 33.4% (2016/18) |
| Education expenditures: | 3.8% of GDP (2013) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 74.4% |
| Literacy: | male: 82.4% |
| Literacy: | female: 65.8% (2018) |
| School life expectancy (primary to tertiary education): | total: 12 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 12 years (2019) |
| Unemployment, youth ages 15-24: | total: 22.5% |
| Unemployment, youth ages 15-24: | male: 22.2% |
| Unemployment, youth ages 15-24: | female: 24.2% (2018 est.) |
