| People and Society | Panama |
| Median age: | female: 29.9 years |
| Population growth rate: | 1.24% (2018 est.) |
| Birth rate: | 17.6 births/1,000 population (2018 est.) |
| Death rate: | 5 deaths/1,000 population (2018 est.) |
| Net migration rate: | -0.2 migrant(s)/1,000 population (2018 est.) |
| Population distribution: | population is concentrated towards the center of the country, particularly around the Canal, but a sizeable segment of the populace also lives in the far west around David; the eastern third of the country is sparsely inhabited |
| Urbanization: | urban population: 68.1% of total population (2019) |
| Urbanization: | rate of urbanization: 2.06% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 1.822 million PANAMA CITY (capital) (2019) |
| Sex ratio: | at birth: 1.04 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 1.03 male(s)/female |
| Sex ratio: | 55-64 years: 0.98 male(s)/female |
| Sex ratio: | 65 years and over: 0.85 male(s)/female |
| Sex ratio: | total population: 1.01 male(s)/female (2018 est.) |
| Maternal mortality rate: | 52 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 9.6 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 10.3 deaths/1,000 live births |
| Infant mortality rate: | female: 8.9 deaths/1,000 live births |
| Life expectancy at birth: | total population: 78.9 years (2018 est.) |
| Life expectancy at birth: | male: 76.1 years |
| Life expectancy at birth: | female: 81.9 years |
| Total fertility rate: | 2.28 children born/woman (2018 est.) |
| Contraceptive prevalence rate: | 62.8% (2013) |
| Drinking water source: | improved: urban: 97.7% of population |
| Drinking water source: | rural: 86.6% of population |
| Drinking water source: | total: 94.7% of population |
| Drinking water source: | unimproved: urban: 2.3% of population |
| Drinking water source: | rural: 11.4% of population |
| Drinking water source: | total: 5.3% of population (2015 est.) |
| Current Health Expenditure: | 7.3% (2016) |
| Physicians density: | 1.57 physicians/1,000 population (2016) |
| Hospital bed density: | 2.3 beds/1,000 population (2013) |
| Sanitation facility access: | improved: urban: 83.5% of population (2015 est.) |
| Sanitation facility access: | rural: 58% of population (2015 est.) |
| Sanitation facility access: | total: 75% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 16.5% of population (2015 est.) |
| Sanitation facility access: | rural: 42% of population (2015 est.) |
| Sanitation facility access: | total: 25% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.9% (2018 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 26,000 (2018 est.) |
| HIV/AIDS - deaths: | <500 (2018 est.) |
| Major infectious diseases: | degree of risk: intermediate (2016) |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea (2016) |
| Major infectious diseases: | vectorborne diseases: dengue fever (2016) |
| Major infectious diseases: | note: active local transmission of Zika virus by Aedes species mosquitoes has been identified in this country (as of August 2016); it poses an important risk (a large number of cases possible) among US citizens if bitten by an infective mosquito; other less common ways to get Zika are through sex, via blood transfusion, or during pregnancy, in which the pregnant woman passes Zika virus to her fetus |
| Obesity - adult prevalence rate: | 22.7% (2016) |
| Children under the age of 5 years underweight: | Education expenditures: |
| Children under the age of 5 years underweight: | 3.2% of GDP (2011) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 95% |
| Literacy: | male: 95.7% |
| Literacy: | female: 94.4% (2015) |
| School life expectancy (primary to tertiary education): | total: 13 years |
| School life expectancy (primary to tertiary education): | male: 12 years |
| School life expectancy (primary to tertiary education): | female: 13 years (2015) |
| Unemployment, youth ages 15-24: | total: 10.8% |
| Unemployment, youth ages 15-24: | male: 8.3% |
| Unemployment, youth ages 15-24: | female: 14.9% (2017 est.) |
