| People and Society | Cabo Verde |
| Population distribution: | among the nine inhabited islands, population distribution is variable; islands in the east are very dry and are only sparsely settled to exploit their extensive salt deposits; the more southerly islands receive more precipitation and support larger populations, but agriculture and livestock grazing have damaged the soil fertility and vegetation; approximately half of the population lives on Sao Tiago Island, which is the location of the capital of Praia; Mindelo, on the northern island of Sao Vicente, also has a large urban population |
| Urbanization: | urban population: 66.2% of total population (2019) |
| Urbanization: | rate of urbanization: 1.97% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 168,000 PRAIA (capital) (2018) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.01 male(s)/female |
| Sex ratio: | 15-24 years: 1 male(s)/female |
| Sex ratio: | 25-54 years: 0.95 male(s)/female |
| Sex ratio: | 55-64 years: 0.8 male(s)/female |
| Sex ratio: | 65 years and over: 0.61 male(s)/female |
| Sex ratio: | total population: 0.94 male(s)/female (2018 est.) |
| Maternal mortality rate: | 58 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 21.1 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 24.3 deaths/1,000 live births |
| Infant mortality rate: | female: 17.9 deaths/1,000 live births |
| Life expectancy at birth: | total population: 72.7 years (2018 est.) |
| Life expectancy at birth: | male: 70.3 years |
| Life expectancy at birth: | female: 75.1 years |
| Total fertility rate: | 2.21 children born/woman (2018 est.) |
| Drinking water source: | improved: urban: 94% of population |
| Drinking water source: | rural: 87.3% of population |
| Drinking water source: | total: 91.7% of population |
| Drinking water source: | unimproved: urban: 6% of population |
| Drinking water source: | rural: 12.7% of population |
| Drinking water source: | total: 8.3% of population (2015 est.) |
| Current Health Expenditure: | 5.2% (2016) |
| Physicians density: | 0.77 physicians/1,000 population (2015) |
| Hospital bed density: | 2.1 beds/1,000 population (2010) |
| Sanitation facility access: | improved: urban: 81.6% of population (2015 est.) |
| Sanitation facility access: | rural: 54.3% of population (2015 est.) |
| Sanitation facility access: | total: 72.2% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 1.4% of population (2015 est.) |
| Sanitation facility access: | rural: 45.7% of population (2015 est.) |
| Sanitation facility access: | total: 27.8% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.6% (2018 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 2,400 (2018 est.) |
| HIV/AIDS - deaths: | <100 (2018 est.) |
| Major infectious diseases: | note: active local transmission of Zika virus by Aedes species mosquitoes has been identified in this country (as of August 2016); it poses an important risk (a large number of cases possible) among US citizens if bitten by an infective mosquito; other less common ways to get Zika are through sex, via blood transfusion, or during pregnancy, in which the pregnant woman passes Zika virus to her fetus |
| Obesity - adult prevalence rate: | 11.8% (2016) |
| Education expenditures: | 5.2% of GDP (2017) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 86.8% |
| Literacy: | male: 91.7% |
| Literacy: | female: 82% (2015) |
| School life expectancy (primary to tertiary education): | total: 12 years |
| School life expectancy (primary to tertiary education): | male: 12 years |
| School life expectancy (primary to tertiary education): | female: 12 years (2017) |
| Unemployment, youth ages 15-24: | total: 32.5% |
| Unemployment, youth ages 15-24: | male: 29.5% |
| Unemployment, youth ages 15-24: | female: 36.4% (2017) |
