| People and Society | Eritrea |
| Dependency ratios: | total dependency ratio: 83.9 |
| Dependency ratios: | youth dependency ratio: 75.6 |
| Dependency ratios: | elderly dependency ratio: 8.3 |
| Dependency ratios: | potential support ratio: 12.1 (2020 est.) |
| Median age: | total: 20.3 years |
| Median age: | male: 19.7 years |
| Median age: | female: 20.8 years (2020 est.) |
| Population growth rate: | 0.93% (2020 est.) |
| Birth rate: | 27.9 births/1,000 population (2020 est.) |
| Death rate: | 6.9 deaths/1,000 population (2020 est.) |
| Net migration rate: | -11.6 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | density is highest in the center of the country in and around the cities of Asmara (capital) and Keren; smaller settlements exist in the north and south as shown in this population distribution map |
| Urbanization: | urban population: 41.3% of total population (2020) |
| Urbanization: | rate of urbanization: 3.86% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 963,000 ASMARA (capital) (2020) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.01 male(s)/female |
| Sex ratio: | 15-24 years: 0.99 male(s)/female |
| Sex ratio: | 25-54 years: 0.96 male(s)/female |
| Sex ratio: | 55-64 years: 0.84 male(s)/female |
| Sex ratio: | 65 years and over: 0.69 male(s)/female |
| Sex ratio: | total population: 0.97 male(s)/female (2020 est.) |
| Mother's mean age at first birth: | 21.3 years (2010 est.) |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 |
| Maternal mortality rate: | 480 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 43.3 deaths/1,000 live births |
| Infant mortality rate: | male: 50.3 deaths/1,000 live births |
| Infant mortality rate: | female: 36.1 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 66.2 years |
| Life expectancy at birth: | male: 63.6 years |
| Life expectancy at birth: | female: 68.8 years (2020 est.) |
| Total fertility rate: | 3.73 children born/woman (2020 est.) |
| Contraceptive prevalence rate: | 8.4% (2010) |
| Drinking water source: | improved: urban: 73.2% of population |
| Drinking water source: | rural: 53.3% of population |
| Drinking water source: | total: 57.8% of population |
| Drinking water source: | unimproved: urban: 26.8% of population |
| Drinking water source: | rural: 46.7% of population |
| Drinking water source: | total: 42.2% of population (2015 est.) |
| Current Health Expenditure: | 2.9% (2017) |
| Physicians density: | 0.06 physicians/1,000 population (2016) |
| Hospital bed density: | 0.7 beds/1,000 population (2011) |
| Sanitation facility access: | improved: urban: 44.5% of population |
| Sanitation facility access: | rural: 7.3% of population |
| Sanitation facility access: | total: 15.7% of population |
| Sanitation facility access: | unimproved: urban: 55.5% of population |
| Sanitation facility access: | rural: 92.7% of population |
| Sanitation facility access: | total: 84.3% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.7% (2019 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 14,000 (2019 est.) |
| HIV/AIDS - deaths: | <500 (2019 est.) |
| Major infectious diseases: | degree of risk: high (2020) |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and dengue fever |
| Obesity - adult prevalence rate: | 5% (2016) |
| Children under the age of 5 years underweight: | 39.4% (2010) |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 76.6% |
| Literacy: | male: 84.4% |
| Literacy: | female: 68.9% (2018) |
| School life expectancy (primary to tertiary education): | total: 59 years |
| School life expectancy (primary to tertiary education): | male: 8 years |
| School life expectancy (primary to tertiary education): | female: 7 years (2015) |
