| People and Society | COSTA RICA |
| HIV/AIDS - adult prevalence rate: | 0.33% (2015 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 10,000 (2015 est.) |
| HIV/AIDS - deaths: | 200 (2015 est.) |
| Major infectious diseases: | degree of risk: intermediate |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea |
| Major infectious diseases: | vectorborne diseases: dengue fever |
| Major infectious diseases: | note: active local transmission of Zika virus by Aedes species mosquitoes has been identified in this country (as of August 2016); it poses an important risk (a large number of cases possible) among US citizens if bitten by an infective mosquito; other less common ways to get Zika are through sex, via blood transfusion, or during pregnancy, in which the pregnant woman passes Zika virus to her fetus (2016) |
| Obesity - adult prevalence rate: | 24% (2014) |
| Children under the age of 5 years underweight: | 1.1% (2009) |
| Education expenditures: | 7% of GDP (2014) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 97.8% |
| Literacy: | male: 97.7% |
| Literacy: | female: 97.8% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 15 years |
| School life expectancy (primary to tertiary education): | male: 15 years |
| School life expectancy (primary to tertiary education): | female: 16 years (2014) |
| Child labor - children ages 5-14: | total number: 39,082 |
| Child labor - children ages 5-14: | percentage: 5% (2002 est.) |
| Unemployment, youth ages 15-24: | total: 25% |
| Unemployment, youth ages 15-24: | male: 21.3% |
| Unemployment, youth ages 15-24: | female: 31.4% (2014 est.) |
