| People and Society | Colombia |
| Major infectious diseases: | note: active local transmission of Zika virus by Aedes species mosquitoes has been identified in this country (as of August 2016); it poses an important risk (a large number of cases possible) among US citizens if bitten by an infective mosquito; other less common ways to get Zika are through sex, via blood transfusion, or during pregnancy, in which the pregnant woman passes Zika virus to her fetus |
| Obesity - adult prevalence rate: | 22.3% (2016) |
| Children under the age of 5 years underweight: | 3.4% (2010) |
| Education expenditures: | 4.5% of GDP (2016) |
| Literacy: | definition: age 15 and over can read and write (2015 est.) |
| Literacy: | total population: 94.2% (2015 est.) |
| Literacy: | male: 94.1% (2015 est.) |
| Literacy: | female: 94.4% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 14 years (2015) |
| School life expectancy (primary to tertiary education): | male: 14 years (2015) |
| School life expectancy (primary to tertiary education): | female: 15 years (2015) |
| Unemployment, youth ages 15-24: | total: 17.5% (2016 est.) |
| Unemployment, youth ages 15-24: | male: 13.7% (2016 est.) |
| Unemployment, youth ages 15-24: | female: 22.7% (2016 est.) |
