| People and Society | Algeria |
| Dependency ratios: | potential support ratio: 11.2 (2015 est.) |
| Median age: | total: 28.3 years (2018 est.) |
| Median age: | male: 28 years |
| Median age: | female: 28.7 years |
| Population growth rate: | 1.63% (2018 est.) |
| Birth rate: | 21.5 births/1,000 population (2018 est.) |
| Death rate: | 4.3 deaths/1,000 population (2018 est.) |
| Net migration rate: | -0.9 migrant(s)/1,000 population (2018 est.) |
| Population distribution: | the vast majority of the populace is found in the extreme northern part of the country along the Mediterranean Coast |
| Urbanization: | urban population: 73.2% of total population (2019) |
| Urbanization: | rate of urbanization: 2.46% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 2.729 million ALGIERS (capital), 890,000 Oran (2019) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.05 male(s)/female |
| Sex ratio: | 25-54 years: 1.03 male(s)/female |
| Sex ratio: | 55-64 years: 1.02 male(s)/female |
| Sex ratio: | 65 years and over: 0.88 male(s)/female |
| Sex ratio: | total population: 1.03 male(s)/female (2018 est.) |
| Maternal mortality rate: | 112 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 18.9 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 20.4 deaths/1,000 live births |
| Infant mortality rate: | female: 17.2 deaths/1,000 live births |
| Life expectancy at birth: | total population: 77.2 years (2018 est.) |
| Life expectancy at birth: | male: 75.8 years |
| Life expectancy at birth: | female: 78.7 years |
| Total fertility rate: | 2.66 children born/woman (2018 est.) |
| Contraceptive prevalence rate: | 57.1% (2012/13) |
| Drinking water source: | improved: urban: 84.3% of population |
| Drinking water source: | rural: 81.8% of population |
| Drinking water source: | total: 83.6% of population |
| Drinking water source: | unimproved: urban: 15.7% of population |
| Drinking water source: | rural: 18.2% of population |
| Drinking water source: | total: 16.4% of population (2015 est.) |
| Current Health Expenditure: | 6.6% (2016) |
| Physicians density: | 1.83 physicians/1,000 population (2016) |
| Hospital bed density: | 1.9 beds/1,000 population (2015) |
| Sanitation facility access: | improved: urban: 89.8% of population (2015 est.) |
| Sanitation facility access: | rural: 82.2% of population (2015 est.) |
| Sanitation facility access: | total: 87.6% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 10.2% of population (2015 est.) |
| Sanitation facility access: | rural: 17.8% of population (2015 est.) |
| Sanitation facility access: | total: 12.4% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | <.1% (2018 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 16,000 (2018 est.) |
| HIV/AIDS - deaths: | <200 (2018 est.) |
| Obesity - adult prevalence rate: | 27.4% (2016) |
| Children under the age of 5 years underweight: | 3% (2012) |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 81.4% |
| Literacy: | male: 87.4% |
| Literacy: | female: 75.3% (2018) |
| School life expectancy (primary to tertiary education): | total: 14 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 15 years (2011) |
| Unemployment, youth ages 15-24: | total: 25.7% |
| Unemployment, youth ages 15-24: | male: 22.1% |
| Unemployment, youth ages 15-24: | female: 44.9% (2016 est.) |
