| People and Society | Afghanistan |
| Death rate: | 13.2 deaths/1,000 population (2018 est.) |
| Net migration rate: | -0.6 migrant(s)/1,000 population (2018 est.) |
| Population distribution: | populations tend to cluster in the foothills and periphery of the rugged Hindu Kush range; smaller groups are found in many of the country's interior valleys; in general, the east is more densely settled, while the south is sparsely populated |
| Urbanization: | urban population: 25.8% of total population (2019) |
| Urbanization: | rate of urbanization: 3.37% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 4.114 million KABUL (capital) (2019) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.03 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 1.04 male(s)/female |
| Sex ratio: | 55-64 years: 0.97 male(s)/female |
| Sex ratio: | 65 years and over: 0.86 male(s)/female |
| Sex ratio: | total population: 1.03 male(s)/female (2018 est.) |
| Mother's mean age at first birth: | 19.9 years (2015 est.) |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 |
| Maternal mortality rate: | 638 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 108.5 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 115.7 deaths/1,000 live births |
| Infant mortality rate: | female: 100.9 deaths/1,000 live births |
| Life expectancy at birth: | total population: 52.1 years (2018 est.) |
| Life expectancy at birth: | male: 50.6 years |
| Life expectancy at birth: | female: 53.6 years |
| Total fertility rate: | 5.02 children born/woman (2018 est.) |
| Contraceptive prevalence rate: | 22.5% (2015/16) |
| Drinking water source: | improved: urban: 78.2% of population |
| Drinking water source: | rural: 47% of population |
| Drinking water source: | total: 55.3% of population |
| Drinking water source: | unimproved: urban: 21.8% of population |
| Drinking water source: | rural: 53% of population |
| Drinking water source: | total: 44.7% of population (2015 est.) |
| Current Health Expenditure: | 10.2% (2016) |
| Physicians density: | 0.28 physicians/1,000 population (2016) |
| Hospital bed density: | 0.5 beds/1,000 population (2014) |
| Sanitation facility access: | improved: urban: 45.1% of population (2015 est.) |
| Sanitation facility access: | rural: 27% of population (2015 est.) |
| Sanitation facility access: | total: 31.9% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 54.9% of population (2015 est.) |
| Sanitation facility access: | rural: 73% of population (2015 est.) |
| Sanitation facility access: | total: 68.1% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | <.1% (2018 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 7,200 (2018 est.) |
| HIV/AIDS - deaths: | <500 (2018 est.) |
| Major infectious diseases: | degree of risk: intermediate (2019) |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever (2019) |
| Major infectious diseases: | vectorborne diseases: Crimea-Congo hemorrhagic fever, malaria (2019) |
| Obesity - adult prevalence rate: | 5.5% (2016) |
| Children under the age of 5 years underweight: | 25% (2013) |
| Education expenditures: | 4.1% of GDP (2017) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 43% |
| Literacy: | male: 55.5% |
| Literacy: | female: 29.8% (2018) |
| School life expectancy (primary to tertiary education): | total: 10 years |
| School life expectancy (primary to tertiary education): | male: 13 years |
| School life expectancy (primary to tertiary education): | female: 8 years (2014) |
| Unemployment, youth ages 15-24: | total: 17.6% |
| Unemployment, youth ages 15-24: | male: 16.3% |
| Unemployment, youth ages 15-24: | female: 21.4% (2017) |
