| People and Society | SAO TOME AND PRINCIPE |
| Infant mortality rate: | female: 43.3 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 65.3 years |
| Life expectancy at birth: | male: 63.9 years |
| Life expectancy at birth: | female: 66.7 years (2017 est.) |
| Total fertility rate: | 4.25 children born/woman (2017 est.) |
| Contraceptive prevalence rate: | 40.6% (2014) |
| Health expenditures: | 8.4% of GDP (2014) |
| Hospital bed density: | 2.9 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 98.9% of population |
| Drinking water source: | rural: 93.6% of population |
| Drinking water source: | total: 97.1% of population |
| unimproved: | urban: 1.1% of population |
| unimproved: | rural: 6.4% of population |
| unimproved: | total: 2.9% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 40.8% of population |
| Sanitation facility access: | rural: 23.3% of population |
| Sanitation facility access: | total: 34.7% of population |
| unimproved: | urban: 59.2% of population |
| unimproved: | rural: 76.7% of population |
| unimproved: | total: 65.3% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and dengue fever |
| Major infectious diseases: | water contact disease: schistosomiasis (2016) |
| Obesity - adult prevalence rate: | 12.4% (2016) |
| Children under the age of 5 years underweight: | 8.8% (2014) |
| Education expenditures: | 3.9% of GDP (2014) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 74.9% |
| Literacy: | male: 81.8% |
| Literacy: | female: 68.4% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 13 years |
| School life expectancy (primary to tertiary education): | male: 13 years |
| School life expectancy (primary to tertiary education): | female: 13 years (2015) |
| Unemployment, youth ages 15-24: | total: 20.8% |
| Unemployment, youth ages 15-24: | male: NA |
| Unemployment, youth ages 15-24: | female: NA (2012 est.) |
