| People and Society | NICARAGUA |
| HIV/AIDS - adult prevalence rate: | 0.27% (2015 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 9,900 (2015 est.) |
| HIV/AIDS - deaths: | 300 (2015 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: dengue fever and malaria |
| Major infectious diseases: | note: active local transmission of Zika virus by Aedes species mosquitoes has been identified in this country (as of August 2016); it poses an important risk (a large number of cases possible) among US citizens if bitten by an infective mosquito; other less common ways to get Zika are through sex, via blood transfusion, or during pregnancy, in which the pregnant woman passes Zika virus to her fetus (2016) |
| Obesity - adult prevalence rate: | 15.5% (2014) |
| Children under the age of 5 years underweight: | 5.7% (2007) |
| Education expenditures: | 4.5% of GDP (2010) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 82.8% |
| Literacy: | male: 82.4% |
| Literacy: | female: 83.2% (2015 est.) |
| Child labor - children ages 5-14: | total number: 223,992 |
| Child labor - children ages 5-14: | percentage: 14% |
| Child labor - children ages 5-14: | note: data represent children ages 5-17 (2005 est.) |
| Unemployment, youth ages 15-24: | total: 11.9% |
| Unemployment, youth ages 15-24: | male: 9.8% |
| Unemployment, youth ages 15-24: | female: 15.6% (2010 est.) |
