| People and Society | BRAZIL |
| Life expectancy at birth: | total population: 73.53 years |
| Life expectancy at birth: | male: 69.99 years |
| Life expectancy at birth: | female: 77.25 years (2015 est.) |
| Total fertility rate: | 1.77 children born/woman (2015 est.) |
| Contraceptive prevalence rate: | 80.3% (2006) |
| Health expenditures: | 9.7% of GDP (2013) |
| Physicians density: | 1.89 physicians/1,000 population (2013) |
| Hospital bed density: | 2.3 beds/1,000 population (2012) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 87% of population |
| Drinking water source: | total: 98.1% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 13% of population |
| unimproved: | total: 1.9% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 88% of population |
| Sanitation facility access: | rural: 51.5% of population |
| Sanitation facility access: | total: 82.8% of population |
| unimproved: | urban: 12% of population |
| unimproved: | rural: 48.5% of population |
| unimproved: | total: 17.2% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.55% (2013 est.) |
| HIV/AIDS - people living with HIV/AIDS: | NA 726,000 (2013 est.) |
| HIV/AIDS - deaths: | 15,800 (2013 est.) |
| Obesity - adult prevalence rate: | 20.1% (2014) |
| Children under the age of 5 years underweight: | 2.2% (2007) |
| Education expenditures: | 5.8% of GDP (2010) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 92.6% |
| Literacy: | male: 92.2% |
| Literacy: | female: 92.9% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 14 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 15 years (2005) |
| Child labor - children ages 5-14: | total number: 959,942 |
| Child labor - children ages 5-14: | percentage: 3% |
| Child labor - children ages 5-14: | note: data represents children ages 5-13 (2009 est.) |
| Unemployment, youth ages 15-24: | total: 15.4% |
| Unemployment, youth ages 15-24: | male: 12.2% |
| Unemployment, youth ages 15-24: | female: 19.8% (2011 est.) |
