| People and Society | South Africa |
| Demographic profile: | Migration to South Africa began in the second half of the 17th century when traders from the Dutch East India Company settled in the Cape and started using slaves from South and southeast Asia (mainly from India but also from present-day Indonesia, Bangladesh, Sri Lanka, and Malaysia) and southeast Africa (Madagascar and Mozambique) as farm laborers and, to a lesser extent, as domestic servants. The Indian subcontinent remained the Cape Colonyâ€™s main source of slaves in the early 18th century, while slaves were increasingly obtained from southeast Africa in the latter part of the 18th century and into the 19th century under British rule. |
| Demographic profile: | After slavery was completely abolished in the British Empire in 1838, South Africaâ€™s colonists turned to temporary African migrants and indentured labor through agreements with India and later China, countries that were anxious to export workers to alleviate domestic poverty and overpopulation. Of the more than 150,000 indentured Indian laborers hired to work in Natalâ€™s sugar plantations between 1860 and 1911, most exercised the right as British subjects to remain permanently (a small number of Indian immigrants came freely as merchants). Because of growing resentment toward Indian workers, the 63,000 indentured Chinese workers who mined gold in Transvaal between 1904 and 1911 were under more restrictive contracts and generally were forced to return to their homeland. |
| Demographic profile: | In the late 19th century and nearly the entire 20th century, South Africaâ€™s then British coloniesâ€™ and Dutch statesâ€™ enforced selective immigration policies that welcomed "assimilable" white Europeans as permanent residents but excluded or restricted other immigrants. Following the Union of South Africaâ€™s passage of a law in 1913 prohibiting Asian and other non-white immigrants and its elimination of the indenture system in 1917, temporary African contract laborers from neighboring countries became the dominant source of labor in the burgeoning mining industries. Others worked in agriculture and smaller numbers in manufacturing, domestic service, transportation, and construction. Throughout the 20th century, at least 40% of South Africaâ€™s miners were foreigners; the numbers peaked at over 80% in the late 1960s. Mozambique, Lesotho, Botswana, and Eswatini were the primary sources of miners, and Malawi and Zimbabwe were periodic suppliers. |
| Demographic profile: | Under apartheid, a "two gates" migration policy focused on policing and deporting illegal migrants rather than on managing migration to meet South Africaâ€™s development needs. The exclusionary 1991 Aliens Control Act limited labor recruitment to the highly skilled as defined by the ruling white minority, while bilateral labor agreements provided exemptions that enabled the influential mining industry and, to a lesser extent, commercial farms, to hire temporary, low-paid workers from neighboring states. Illegal African migrants were often tacitly allowed to work for low pay in other sectors but were always under threat of deportation. |
| Demographic profile: | The abolishment of apartheid in 1994 led to the development of a new inclusive national identity and the strengthening of the countryâ€™s restrictive immigration policy. Despite South Africaâ€™s protectionist approach to immigration, the downsizing and closing of mines, and rising unemployment, migrants from across the continent believed that the country held work opportunities. Fewer African labor migrants were issued temporary work permits and, instead, increasingly entered South Africa with visitorsâ€™ permits or came illegally, which drove growth in cross-border trade and the informal job market. A new wave of Asian immigrants has also arrived over the last two decades, many operating small retail businesses. |
| Demographic profile: | In the post-apartheid period, increasing numbers of highly skilled white workers emigrated, citing dissatisfaction with the political situation, crime, poor services, and a reduced quality of life. The 2002 Immigration Act and later amendments were intended to facilitate the temporary migration of skilled foreign labor to fill labor shortages, but instead the legislation continues to create regulatory obstacles. Although the education system has improved and brain drain has slowed in the wake of the 2008 global financial crisis, South Africa continues to face skills shortages in several key sectors, such as health care and technology. |
| Demographic profile: | South Africaâ€™s stability and economic growth has acted as a magnet for refugees and asylum seekers from nearby countries, despite the prevalence of discrimination and xenophobic violence. Refugees have included an estimated 350,000 Mozambicans during its 1980s civil war and, more recently, several thousand Somalis, Congolese, and Ethiopians. Nearly all of the tens of thousands of Zimbabweans who have applied for asylum in South Africa have been categorized as economic migrants and denied refuge. |
| Age structure: | 0-14 years: 27.94% (male 7,894,742/female 7,883,266) |
| Age structure: | 15-24 years: 16.8% (male 4,680,587/female 4,804,337) |
| Age structure: | 25-54 years: 42.37% (male 12,099,441/female 11,825,193) |
| Age structure: | 55-64 years: 6.8% (male 1,782,902/female 2,056,988) |
| Age structure: | 65 years and over: 6.09% (male 1,443,956/female 1,992,205) (2020 est.) |
| Dependency ratios: | total dependency ratio: 52.2 |
| Dependency ratios: | youth dependency ratio: 43.8 |
| Dependency ratios: | elderly dependency ratio: 8.4 |
| Dependency ratios: | potential support ratio: 11.9 (2020 est.) |
| Median age: | total: 28 years |
| Median age: | male: 27.9 years |
| Median age: | female: 28.1 years (2020 est.) |
| Population growth rate: | 0.97% (2020 est.) |
| Birth rate: | 19.2 births/1,000 population (2020 est.) |
| Death rate: | 9.3 deaths/1,000 population (2020 est.) |
| Net migration rate: | -0.2 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | the population concentrated along the southern and southeastern coast, and inland around Pretoria; the eastern half of the country is more densly populated than the west as shown in this population distribution map |
| Urbanization: | urban population: 67.4% of total population (2020) |
| Urbanization: | rate of urbanization: 1.97% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 9.677Â million Johannesburg (includes Ekurhuleni), 4.618 million Cape Town (legislative capital), 3.158 million Durban, 2.566 million PRETORIA (administrative capital), 1.254 million Port Elizabeth, 898,000 West Rand (2020) |
| Sex ratio: | at birth: 1.02 male(s)/female |
| Sex ratio: | 0-14 years: 1 male(s)/female |
| Sex ratio: | 15-24 years: 0.97 male(s)/female |
| Sex ratio: | 25-54 years: 1.02 male(s)/female |
| Sex ratio: | 55-64 years: 0.87 male(s)/female |
| Sex ratio: | 65 years and over: 0.72 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2020 est.) |
| Maternal mortality rate: | 119 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 27.8 deaths/1,000 live births |
| Infant mortality rate: | male: 31 deaths/1,000 live births |
| Infant mortality rate: | female: 24.6 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 64.8 years |
| Life expectancy at birth: | male: 63.4 years |
| Life expectancy at birth: | female: 66.2 years (2020 est.) |
| Total fertility rate: | 2.22 children born/woman (2020 est.) |
| Contraceptive prevalence rate: | 54.6% (2016) |
| Drinking water source: | improved: urban: 98.9% of population |
| Drinking water source: | rural: 87.4% of population |
| Drinking water source: | total: 95.5% of population |
| Drinking water source: | unimproved: urban: 1.1% of population |
| Drinking water source: | rural: 12.6% of population |
| Drinking water source: | total: 4.5% of population (2017 est.) |
| Current Health Expenditure: | 8.1% (2017) |
| Physicians density: | 0.91 physicians/1,000 population (2017) |
| Hospital bed density: | 2.3 beds/1,000 population (2010) |
| Sanitation facility access: | improved: urban: 95.6% of population |
| Sanitation facility access: | rural: 80.9% of population |
| Sanitation facility access: | total: 90.6% of population |
| Sanitation facility access: | unimproved: urban: 4.4% of population |
| Sanitation facility access: | rural: 19.1% of population |
| Sanitation facility access: | total: 9.4% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | 17.3% (2019 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 7.5 million (2019 est.) |
| HIV/AIDS - deaths: | 72,000 (2019 est.) |
| Major infectious diseases: | degree of risk: intermediate (2020) |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | water contact diseases: schistosomiasis |
| Major infectious diseases: | note: widespread ongoing transmission of a respiratory illness caused by the novel coronavirus (COVID-19) is occurring throughout South Africa; as of 8 December 2020, South Africa has reported a total of 810,449 cases of COVID-19 or 13,665 cumulative cases of COVID-19 per 1 million population with 372 cumulative deaths per 1 million population; on 24 May 2020, the Government of South Africa announced the lockdown alert level for South Africa will be lowered to level 3 with effect on 1 June 2020, except for some areas designated as â€œcoronavirus hotspotsâ€?; per the lockdown, all airports in South Africa are closed to commercial traffic |
| Obesity - adult prevalence rate: | 28.3% (2016) |
| Children under the age of 5 years underweight: | 5.9% (2016) |
| Education expenditures: | 6.5% of GDP (2019) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 87% |
| Literacy: | male: 87.7% |
| Literacy: | female: 86.5% (2017) |
| School life expectancy (primary to tertiary education): | total: 14 years |
| School life expectancy (primary to tertiary education): | male: 13 years |
| School life expectancy (primary to tertiary education): | female: 14 years (2018) |
| Unemployment, youth ages 15-24: | total: 53.4% |
| Unemployment, youth ages 15-24: | male: 49.2% |
| Unemployment, youth ages 15-24: | female: 58.8% (2018 est.) |
