| People and Society | Guatemala |
| Population distribution: | the vast majority of the populace resides in the southern half of the country, particularly in the mountainous regions; more than half of the population lives in rural areas |
| Urbanization: | urban population: 51.8% of total population (2020) |
| Urbanization: | rate of urbanization: 2.68% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 2.935 million GUATEMALA CITY (capital) (2020) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.01 male(s)/female |
| Sex ratio: | 25-54 years: 0.96 male(s)/female |
| Sex ratio: | 55-64 years: 0.87 male(s)/female |
| Sex ratio: | 65 years and over: 0.82 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2020 est.) |
| Mother's mean age at first birth: | 21.2 years (2014/15 est.) |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 |
| Maternal mortality rate: | 95 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 21.8 deaths/1,000 live births |
| Infant mortality rate: | male: 24 deaths/1,000 live births |
| Infant mortality rate: | female: 19.6 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 72.4 years |
| Life expectancy at birth: | male: 70.3 years |
| Life expectancy at birth: | female: 74.5 years (2020 est.) |
| Total fertility rate: | 2.72 children born/woman (2020 est.) |
| Contraceptive prevalence rate: | 60.6% (2014/15) |
| Drinking water source: | improved: urban: 97.9% of population |
| Drinking water source: | rural: 92.2% of population |
| Drinking water source: | total: 95.2% of population |
| Drinking water source: | unimproved: urban: 2.1% of population |
| Drinking water source: | rural: 7.8% of population |
| Drinking water source: | total: 4.8% of population (2017 est.) |
| Current Health Expenditure: | 5.8% (2017) |
| Physicians density: | 0.36 physicians/1,000 population (2018) |
| Hospital bed density: | 0.4 beds/1,000 population (2017) |
| Sanitation facility access: | improved: urban: 91.4% of population |
| Sanitation facility access: | rural: 61.7% of population |
| Sanitation facility access: | total: 76.7% of population |
| Sanitation facility access: | unimproved: urban: 8.6% of population |
| Sanitation facility access: | rural: 38.3% of population |
| Sanitation facility access: | total: 23.3% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | 0.3% (2019 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 36,000 (2019 est.) |
| HIV/AIDS - deaths: | 1,200 (2019 est.) |
| Major infectious diseases: | degree of risk: high (2020) |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever and malaria |
| Obesity - adult prevalence rate: | 21.2% (2016) |
| Children under the age of 5 years underweight: | 12.4% (2015) |
| Education expenditures: | 3.2% of GDP (2019) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 81.5% |
| Literacy: | male: 87.4% |
| Literacy: | female: 76.3% (2015) |
| School life expectancy (primary to tertiary education): | total: 11 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 11 years (2015) |
| Unemployment, youth ages 15-24: | total: 5% |
| Unemployment, youth ages 15-24: | male: 3.7% |
| Unemployment, youth ages 15-24: | female: 8% (2017 est.) |
