| People and Society | GUATEMALA |
| Children under the age of 5 years underweight: | 12.6% (2015) |
| Education expenditures: | 2.8% of GDP (2013) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 81.5% |
| Literacy: | male: 87.4% |
| Literacy: | female: 76.3% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 11 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 10 years (2013) |
| Child labor - children ages 5-14: | total number: 929,852 |
| Child labor - children ages 5-14: | percentage: 21% |
| Child labor - children ages 5-14: | note: data represent children ages 5-17 (2006 est.) |
| Unemployment, youth ages 15-24: | total: 6.3% |
| Unemployment, youth ages 15-24: | male: 6.5% |
| Unemployment, youth ages 15-24: | female: 5.8% (2013 est.) |
