| People and Society | Guatemala |
| Population growth rate: | 1.72% (2018 est.) |
| Birth rate: | 24.6 births/1,000 population (2018 est.) |
| Death rate: | 5 deaths/1,000 population (2018 est.) |
| Net migration rate: | -1.9 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | the vast majority of the populace resides in the southern half of the country, particularly in the mountainous regions; more than half of the population lives in rural areas |
| Urbanization: | urban population: 51.1% of total population (2018) |
| Urbanization: | rate of urbanization: 2.68% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 2.851 million GUATEMALA CITY (capital) (2018) |
| Sex ratio: | at birth: 1.05 male(s)/female (2017 est.) |
| Sex ratio: | 0-14 years: 1.04 male(s)/female (2017 est.) |
| Sex ratio: | 15-24 years: 1.01 male(s)/female (2017 est.) |
| Sex ratio: | 25-54 years: 0.91 male(s)/female (2017 est.) |
| Sex ratio: | 55-64 years: 0.91 male(s)/female (2017 est.) |
| Sex ratio: | 65 years and over: 0.87 male(s)/female (2017 est.) |
| Sex ratio: | total population: 0.97 male(s)/female (2017 est.) |
| Mother's mean age at first birth: | 21.2 years (2014/15 est.) |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 |
| Maternal mortality rate: | 88 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 23.3 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 25.6 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | female: 20.9 deaths/1,000 live births (2018 est.) |
| Life expectancy at birth: | total population: 71.8 years (2018 est.) |
| Life expectancy at birth: | male: 69.8 years (2018 est.) |
| Life expectancy at birth: | female: 73.9 years (2018 est.) |
| Total fertility rate: | 2.87 children born/woman (2018 est.) |
| Contraceptive prevalence rate: | 60.6% (2014/15) |
| Health expenditures: | 6.2% of GDP (2014) |
| Physicians density: | 0.9 physicians/1,000 population (2009) |
| Hospital bed density: | 0.6 beds/1,000 population (2014) |
| Drinking water source: | improved: urban: 98.4% of population |
| Drinking water source: | rural: 86.8% of population |
| Drinking water source: | total: 92.8% of population |
| Drinking water source: | unimproved: urban: 1.6% of population |
| Drinking water source: | rural: 13.2% of population |
| Drinking water source: | total: 7.2% of population (2015 est.) |
| Sanitation facility access: | improved: urban: 77.5% of population (2015 est.) |
| Sanitation facility access: | rural: 49.3% of population (2015 est.) |
| Sanitation facility access: | total: 63.9% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 22.5% of population (2015 est.) |
| Sanitation facility access: | rural: 50.7% of population (2015 est.) |
| Sanitation facility access: | total: 36.1% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.4% (2017 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 46,000 (2017 est.) |
| HIV/AIDS - deaths: | 2,000 (2017 est.) |
| Major infectious diseases: | degree of risk: high (2016) |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever (2016) |
| Major infectious diseases: | vectorborne diseases: dengue fever and malaria (2016) |
| Major infectious diseases: | note: active local transmission of Zika virus by Aedes species mosquitoes has been identified in this country (as of August 2016); it poses an important risk (a large number of cases possible) among US citizens if bitten by an infective mosquito; other less common ways to get Zika are through sex, via blood transfusion, or during pregnancy, in which the pregnant woman passes Zika virus to her fetus |
| Obesity - adult prevalence rate: | 21.2% (2016) |
| Children under the age of 5 years underweight: | 12.6% (2015) |
| Education expenditures: | 2.8% of GDP (2016) |
| Literacy: | definition: age 15 and over can read and write (2015 est.) |
| Literacy: | total population: 81.5% (2015 est.) |
| Literacy: | male: 87.4% (2015 est.) |
| Literacy: | female: 76.3% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 11 years (2013) |
| School life expectancy (primary to tertiary education): | male: 11 years (2013) |
| School life expectancy (primary to tertiary education): | female: 10 years (2013) |
| Unemployment, youth ages 15-24: | total: 6.1% (2016 est.) |
| Unemployment, youth ages 15-24: | male: 4.6% (2016 est.) |
| Unemployment, youth ages 15-24: | female: 9.1% (2016 est.) |
