| People and Society | Guyana |
| Hospital bed density: | 1.7 beds/1,000 population (2016) |
| Sanitation facility access: | improved: urban: 97.8% of population |
| Sanitation facility access: | rural: 95.4% of population |
| Sanitation facility access: | total: 96% of population |
| Sanitation facility access: | unimproved: urban: 2.2% of population |
| Sanitation facility access: | rural: 4.6% of population |
| Sanitation facility access: | total: 4% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | 1.4% (2019 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 8,700 (2019 est.) |
| HIV/AIDS - deaths: | <200 (2019 est.) |
| Major infectious diseases: | degree of risk: very high (2020) |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever and malaria |
| Obesity - adult prevalence rate: | 20.2% (2016) |
| Children under the age of 5 years underweight: | 8.2% (2014) |
| Education expenditures: | 5.5% of GDP (2018) |
| Literacy: | definition: age 15 and over has ever attended school |
| Literacy: | total population: 88.5% |
| Literacy: | male: 87.2% |
| Literacy: | female: 89.8% (2015) |
| School life expectancy (primary to tertiary education): | total: 11 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 12 years (2012) |
| Unemployment, youth ages 15-24: | total: 21.5% |
| Unemployment, youth ages 15-24: | male: 17.3% |
| Unemployment, youth ages 15-24: | female: 27.7% (2017 est.) |
