| People and Society | GUYANA |
| Dependency ratios: | total dependency ratio: 51.1% |
| Dependency ratios: | youth dependency ratio: 43.5% |
| Dependency ratios: | elderly dependency ratio: 7.6% |
| Dependency ratios: | potential support ratio: 13.2% (2015 est.) |
| Median age: | total: 25.8 years |
| Median age: | male: 25.5 years |
| Median age: | female: 26.2 years (2016 est.) |
| Population growth rate: | 0.17% (2016 est.) |
| Birth rate: | 15.5 births/1,000 population (2016 est.) |
| Death rate: | 7.4 deaths/1,000 population (2016 est.) |
| Net migration rate: | -6.4 migrant(s)/1,000 population (2016 est.) |
| Population distribution: | population is heavily concentrated in the northeast in and around Georgetown, with noteable concentrations along the Berbice River to the east; the remainder of the country is sparsely populated |
| Urbanization: | urban population: 28.6% of total population (2015) |
| Urbanization: | rate of urbanization: 0.76% annual rate of change (2010-15 est.) |
| Major urban areas - population: | GEORGETOWN (capital) 124,000 (2014) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.05 male(s)/female |
| Sex ratio: | 25-54 years: 1.09 male(s)/female |
| Sex ratio: | 55-64 years: 0.82 male(s)/female |
| Sex ratio: | 65 years and over: 0.71 male(s)/female |
| Sex ratio: | total population: 1.02 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 20.8 |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2009 est.) |
| Maternal mortality rate: | 229 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 31.5 deaths/1,000 live births |
| Infant mortality rate: | male: 35.4 deaths/1,000 live births |
| Infant mortality rate: | female: 27.3 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 68.4 years |
| Life expectancy at birth: | male: 65.4 years |
| Life expectancy at birth: | female: 71.5 years (2016 est.) |
| Total fertility rate: | 2.04 children born/woman (2016 est.) |
| Contraceptive prevalence rate: | 42.5% (2009) |
| Health expenditures: | 5.2% of GDP (2014) |
| Physicians density: | 0.21 physicians/1,000 population (2010) |
| Hospital bed density: | 2 beds/1,000 population (2009) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 98.2% of population |
| Drinking water source: | rural: 98.3% of population |
| Drinking water source: | total: 98.3% of population |
| unimproved: | urban: 1.8% of population |
| unimproved: | rural: 1.7% of population |
| unimproved: | total: 1.7% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 87.9% of population |
| Sanitation facility access: | rural: 82% of population |
| Sanitation facility access: | total: 83.7% of population |
| unimproved: | urban: 12.1% of population |
| unimproved: | rural: 18% of population |
| unimproved: | total: 16.3% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 1.5% (2015 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 7,800 (2015 est.) |
| HIV/AIDS - deaths: | 100 (2015 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever and malaria |
| Major infectious diseases: | note: active local transmission of Zika virus by Aedes species mosquitoes has been identified in this country (as of August 2016); it poses an important risk (a large number of cases possible) among US citizens if bitten by an infective mosquito; other less common ways to get Zika are through sex, via blood transfusion, or during pregnancy, in which the pregnant woman passes Zika virus to her fetus (2016) |
| Obesity - adult prevalence rate: | 21.9% (2014) |
| Children under the age of 5 years underweight: | 8.5% (2014) |
| Education expenditures: | 3.2% of GDP (2012) |
| Literacy: | definition: age 15 and over has ever attended school |
| Literacy: | total population: 88.5% |
| Literacy: | male: 87.2% |
| Literacy: | female: 89.8% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 10 years |
| School life expectancy (primary to tertiary education): | male: 10 years |
| School life expectancy (primary to tertiary education): | female: 10 years (2012) |
| Child labor - children ages 5-14: | total number: 30,255 |
| Child labor - children ages 5-14: | percentage: 16% (2006 est.) |
