| People and Society | Zimbabwe |
| Major infectious diseases: | degree of risk: high (2016) |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever (2016) |
| Major infectious diseases: | vectorborne diseases: malaria and dengue fever (2016) |
| Major infectious diseases: | water contact diseases: schistosomiasis (2016) |
| Major infectious diseases: | animal contact diseases: rabies (2016) |
| Obesity - adult prevalence rate: | 15.5% (2016) |
| Children under the age of 5 years underweight: | 8.5% (2015) |
| Education expenditures: | 6.1% of GDP (2014) |
| Literacy: | definition: age 15 and over can read and write English |
| Literacy: | total population: 86.5% |
| Literacy: | male: 88.5% |
| Literacy: | female: 84.6% (2015) |
| School life expectancy (primary to tertiary education): | total: 10 years |
| School life expectancy (primary to tertiary education): | male: 10 years |
| School life expectancy (primary to tertiary education): | female: 10 years (2013) |
| Unemployment, youth ages 15-24: | total: 16.5% |
| Unemployment, youth ages 15-24: | male: 11.6% |
| Unemployment, youth ages 15-24: | female: 21.2% (2014 est.) |
