| People and Society | ZIMBABWE |
| Dependency ratios: | total dependency ratio: 80.4% |
| Dependency ratios: | youth dependency ratio: 75% |
| Dependency ratios: | elderly dependency ratio: 5.3% |
| Dependency ratios: | potential support ratio: 18.7% (2015 est.) |
| Median age: | total: 20.6 years |
| Median age: | male: 20.5 years |
| Median age: | female: 20.8 years (2016 est.) |
| Population growth rate: | 2.2% (2016 est.) |
| Birth rate: | 31.9 births/1,000 population (2016 est.) |
| Death rate: | 9.9 deaths/1,000 population (2016 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2016 est.) |
| Urbanization: | urban population: 32.4% of total population (2015) |
| Urbanization: | rate of urbanization: 2.3% annual rate of change (2010-15 est.) |
| Major urban areas - population: | HARARE (capital) 1.501 million (2015) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.02 male(s)/female |
| Sex ratio: | 15-24 years: 1.02 male(s)/female |
| Sex ratio: | 25-54 years: 1.1 male(s)/female |
| Sex ratio: | 55-64 years: 0.58 male(s)/female |
| Sex ratio: | 65 years and over: 0.64 male(s)/female |
| Sex ratio: | total population: 1.01 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 20.5 |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2010/11 est.) |
| Maternal mortality rate: | 443 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 25.9 deaths/1,000 live births |
| Infant mortality rate: | male: 28.1 deaths/1,000 live births |
| Infant mortality rate: | female: 23.6 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 58 years |
| Life expectancy at birth: | male: 57.3 years |
| Life expectancy at birth: | female: 58.7 years (2016 est.) |
| Total fertility rate: | 3.5 children born/woman (2016 est.) |
| Contraceptive prevalence rate: | 58.5% (2010/11) |
| Health expenditures: | 6.4% of GDP (2014) |
| Physicians density: | 0.08 physicians/1,000 population (2011) |
| Hospital bed density: | 1.7 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 97% of population |
| Drinking water source: | rural: 67.3% of population |
| Drinking water source: | total: 76.9% of population |
| unimproved: | urban: 3% of population |
| unimproved: | rural: 32.7% of population |
| unimproved: | total: 23.1% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 49.3% of population |
| Sanitation facility access: | rural: 30.8% of population |
| Sanitation facility access: | total: 36.8% of population |
| unimproved: | urban: 50.7% of population |
| unimproved: | rural: 69.2% of population |
| unimproved: | total: 63.2% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 14.69% (2015 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 1,425,800 (2015 est.) |
| HIV/AIDS - deaths: | 29,400 (2015 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and dengue fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | animal contact disease: rabies (2016) |
| Obesity - adult prevalence rate: | 8.4% (2014) |
| Children under the age of 5 years underweight: | 11.2% (2014) |
| Education expenditures: | 2% of GDP (2010) |
| Literacy: | definition: age 15 and over can read and write English |
| Literacy: | total population: 86.5% |
| Literacy: | male: 88.5% |
| Literacy: | female: 84.6% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 10 years |
| School life expectancy (primary to tertiary education): | male: 10 years |
| School life expectancy (primary to tertiary education): | female: 10 years (2013) |
| Unemployment, youth ages 15-24: | total: 8.7% |
| Unemployment, youth ages 15-24: | male: 7.7% |
| Unemployment, youth ages 15-24: | female: 9.8% (2012 est.) |
