| People and Society | VENEZUELA |
| Urbanization: | rate of urbanization: 1.54% annual rate of change (2010-15 est.) |
| Major urban areas - population: | CARACAS (capital) 2.916 million; Maracaibo 2.196 million; Valencia 1.734 million; Maracay 1.166 million; Barquisimeto 1.039 million (2015) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.03 male(s)/female |
| Sex ratio: | 25-54 years: 0.98 male(s)/female |
| Sex ratio: | 55-64 years: 0.92 male(s)/female |
| Sex ratio: | 65 years and over: 0.79 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2016 est.) |
| Maternal mortality rate: | 95 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 12.5 deaths/1,000 live births |
| Infant mortality rate: | male: 13.1 deaths/1,000 live births |
| Infant mortality rate: | female: 11.9 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 75.8 years |
| Life expectancy at birth: | male: 72.7 years |
| Life expectancy at birth: | female: 78.9 years (2016 est.) |
| Total fertility rate: | 2.35 children born/woman (2016 est.) |
| Health expenditures: | 5.3% of GDP (2014) |
| Hospital bed density: | 0.9 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 95% of population |
| Drinking water source: | rural: 77.9% of population |
| Drinking water source: | total: 93.1% of population |
| unimproved: | urban: 5% of population |
| unimproved: | rural: 22.1% of population |
| unimproved: | total: 6.9% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 97.5% of population |
| Sanitation facility access: | rural: 69.9% of population |
| Sanitation facility access: | total: 94.4% of population |
| unimproved: | urban: 2.5% of population |
| unimproved: | rural: 30.1% of population |
| unimproved: | total: 5.6% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.55% (2015 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 107,300 (2015 est.) |
| HIV/AIDS - deaths: | 3,300 (2015 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea and hepatitis A |
| Major infectious diseases: | vectorborne diseases: dengue fever and malaria |
| Major infectious diseases: | note: active local transmission of Zika virus by Aedes species mosquitoes has been identified in this country (as of August 2016); it poses an important risk (a large number of cases possible) among US citizens if bitten by an infective mosquito; other less common ways to get Zika are through sex, via blood transfusion, or during pregnancy, in which the pregnant woman passes Zika virus to her fetus (2016) |
| Obesity - adult prevalence rate: | 24.3% (2014) |
| Children under the age of 5 years underweight: | 2.9% (2009) |
| Education expenditures: | 6.9% of GDP (2009) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 96.3% |
| Literacy: | male: 96.4% |
| Literacy: | female: 96.2% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 14 years |
| School life expectancy (primary to tertiary education): | male: NA |
| School life expectancy (primary to tertiary education): | female: NA (2009) |
| Unemployment, youth ages 15-24: | total: 14.7% |
| Unemployment, youth ages 15-24: | male: NA |
| Unemployment, youth ages 15-24: | female: NA (2014 est.) |
