| People and Society | Guinea |
| Major urban areas - population: | 1.938 million CONAKRY (capital) (2020) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.02 male(s)/female |
| Sex ratio: | 15-24 years: 1.01 male(s)/female |
| Sex ratio: | 25-54 years: 1 male(s)/female |
| Sex ratio: | 55-64 years: 0.94 male(s)/female |
| Sex ratio: | 65 years and over: 0.81 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2020 est.) |
| Mother's mean age at first birth: | 19.5 years (2018 est.) |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 |
| Maternal mortality rate: | 576 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 52.4 deaths/1,000 live births |
| Infant mortality rate: | male: 57.3 deaths/1,000 live births |
| Infant mortality rate: | female: 47.3 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 63.2 years |
| Life expectancy at birth: | male: 61.3 years |
| Life expectancy at birth: | female: 65 years (2020 est.) |
| Total fertility rate: | 4.92 children born/woman (2020 est.) |
| Contraceptive prevalence rate: | 10.9% (2018) |
| Drinking water source: | improved: urban: 97.9% of population |
| Drinking water source: | rural: 69.8% of population |
| Drinking water source: | total: 79.9% of population |
| Drinking water source: | unimproved: urban: 2.1% of population |
| Drinking water source: | rural: 27.6% of population |
| Drinking water source: | total: 20.1% of population (2017 est.) |
| Current Health Expenditure: | 4.1% (2017) |
| Physicians density: | 0.08 physicians/1,000 population (2016) |
| Hospital bed density: | 0.3 beds/1,000 population (2011) |
| Sanitation facility access: | improved: urban: 85.6% of population |
| Sanitation facility access: | rural: 34.8% of population |
| Sanitation facility access: | total: 53% of population |
| Sanitation facility access: | unimproved: urban: 14.4% of population |
| Sanitation facility access: | rural: 65.2% of population |
| Sanitation facility access: | total: 47% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | 1.4% (2019 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 110,000 (2019 est.) |
| HIV/AIDS - deaths: | 3,100 (2019 est.) |
| Major infectious diseases: | degree of risk: very high (2020) |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria, dengue fever, and yellow fever |
| Major infectious diseases: | water contact diseases: schistosomiasis |
| Major infectious diseases: | animal contact diseases: rabies |
| Major infectious diseases: | aerosolized dust or soil contact diseases: Lassa fever (2016) |
| Obesity - adult prevalence rate: | 7.7% (2016) |
| Children under the age of 5 years underweight: | 16.3% (2018) |
| Education expenditures: | 2.3% of GDP (2018) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 30.4% |
| Literacy: | male: 38.1% |
| Literacy: | female: 22.8% (2015) |
| School life expectancy (primary to tertiary education): | total: 9 years |
| School life expectancy (primary to tertiary education): | male: 10 years |
| School life expectancy (primary to tertiary education): | female: 8 years (2014) |
| Unemployment, youth ages 15-24: | total: 1% |
| Unemployment, youth ages 15-24: | male: 1.5% |
| Unemployment, youth ages 15-24: | female: 0.6% (2012 est.) |
