| People and Society | GUINEA |
| Sex ratio: | 15-24 years: 1.02 male(s)/female |
| Sex ratio: | 25-54 years: 1.01 male(s)/female |
| Sex ratio: | 55-64 years: 0.92 male(s)/female |
| Sex ratio: | 65 years and over: 0.79 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 18.9 |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2012 est.) |
| Maternal mortality rate: | 679 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 51.7 deaths/1,000 live births |
| Infant mortality rate: | male: 54.4 deaths/1,000 live births |
| Infant mortality rate: | female: 48.9 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 60.6 years |
| Life expectancy at birth: | male: 59 years |
| Life expectancy at birth: | female: 62.2 years (2016 est.) |
| Total fertility rate: | 4.82 children born/woman (2016 est.) |
| Contraceptive prevalence rate: | 5.6% (2012) |
| Health expenditures: | 5.6% of GDP (2014) |
| Physicians density: | 0.1 physicians/1,000 population (2005) |
| Hospital bed density: | 0.3 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 92.7% of population |
| Drinking water source: | rural: 67.4% of population |
| Drinking water source: | total: 76.8% of population |
| unimproved: | urban: 7.3% of population |
| unimproved: | rural: 32.6% of population |
| unimproved: | total: 23.2% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 34.1% of population |
| Sanitation facility access: | rural: 11.8% of population |
| Sanitation facility access: | total: 20.1% of population |
| unimproved: | urban: 65.9% of population |
| unimproved: | rural: 88.2% of population |
| unimproved: | total: 79.9% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 1.56% (2015 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 116,800 (2015 est.) |
| HIV/AIDS - deaths: | 4,600 (2015 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria, dengue fever, and yellow fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | aerosolized dust or soil contact disease: Lassa fever |
| Major infectious diseases: | animal contact disease: rabies (2016) |
| Obesity - adult prevalence rate: | 5.9% (2014) |
| Children under the age of 5 years underweight: | 18.7% (2012) |
| Education expenditures: | 3.5% of GDP (2013) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 30.4% |
| Literacy: | male: 38.1% |
| Literacy: | female: 22.8% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 9 years |
| School life expectancy (primary to tertiary education): | male: 10 years |
| School life expectancy (primary to tertiary education): | female: 8 years (2014) |
| Child labor - children ages 5-14: | total number: 571,774 |
| Child labor - children ages 5-14: | percentage: 25% (2003 est.) |
| Unemployment, youth ages 15-24: | total: 1% |
| Unemployment, youth ages 15-24: | male: 1.5% |
| Unemployment, youth ages 15-24: | female: 0.6% (2012 est.) |
