| People and Society | NAMIBIA |
| Median age: | female: 21.7 years (2016 est.) |
| Population growth rate: | 1.98% (2016 est.) |
| Birth rate: | 27.9 births/1,000 population (2016 est.) |
| Death rate: | 8.1 deaths/1,000 population (2016 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2016 est.) |
| Urbanization: | urban population: 46.7% of total population (2015) |
| Urbanization: | rate of urbanization: 4.16% annual rate of change (2010-15 est.) |
| Major urban areas - population: | WINDHOEK (capital) 368,000 (2015) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.02 male(s)/female |
| Sex ratio: | 15-24 years: 0.99 male(s)/female |
| Sex ratio: | 25-54 years: 0.91 male(s)/female |
| Sex ratio: | 55-64 years: 0.82 male(s)/female |
| Sex ratio: | 65 years and over: 0.75 male(s)/female |
| Sex ratio: | total population: 0.96 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 21.5 |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2013 est.) |
| Maternal mortality rate: | 265 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 36.4 deaths/1,000 live births |
| Infant mortality rate: | male: 38.7 deaths/1,000 live births |
| Infant mortality rate: | female: 34.1 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 63.6 years |
| Life expectancy at birth: | male: 62.1 years |
| Life expectancy at birth: | female: 65.1 years (2016 est.) |
| Total fertility rate: | 3.36 children born/woman (2016 est.) |
| Contraceptive prevalence rate: | 55.1% (2006/07) |
| Health expenditures: | 8.9% of GDP (2014) |
| Physicians density: | 0.37 physicians/1,000 population (2007) |
| Hospital bed density: | 2.7 beds/1,000 population (2009) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 98.2% of population |
| Drinking water source: | rural: 84.6% of population |
| Drinking water source: | total: 91% of population |
| unimproved: | urban: 1.8% of population |
| unimproved: | rural: 15.4% of population |
| unimproved: | total: 9% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 54.5% of population |
| Sanitation facility access: | rural: 16.8% of population |
| Sanitation facility access: | total: 34.4% of population |
| unimproved: | urban: 45.5% of population |
| unimproved: | rural: 83.2% of population |
| unimproved: | total: 65.6% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 13.34% (2015 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 210,800 (2015 est.) |
| HIV/AIDS - deaths: | 3,100 (2015 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: malaria |
| Major infectious diseases: | water contact disease: schistosomiasis (2016) |
| Obesity - adult prevalence rate: | 16.8% (2014) |
| Children under the age of 5 years underweight: | 13.2% (2013) |
| Education expenditures: | 8.3% of GDP (2010) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 81.9% |
| Literacy: | male: 79.2% |
| Literacy: | female: 84.5% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 11 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 11 years (2006) |
| Unemployment, youth ages 15-24: | total: 56.2% |
| Unemployment, youth ages 15-24: | male: 49.4% |
| Unemployment, youth ages 15-24: | female: 62.2% (2013 est.) |
