| People and Society | Namibia |
| HIV/AIDS - people living with HIV/AIDS: | 200,000 (2017 est.) |
| HIV/AIDS - deaths: | 2,700 (2017 est.) |
| Major infectious diseases: | degree of risk: high (2016) |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever (2016) |
| Major infectious diseases: | vectorborne diseases: malaria (2016) |
| Major infectious diseases: | water contact diseases: schistosomiasis (2016) |
| Obesity - adult prevalence rate: | 17.2% (2016) |
| Children under the age of 5 years underweight: | 13.2% (2013) |
| Education expenditures: | 8.3% of GDP (2010) |
| Literacy: | definition: age 15 and over can read and write (2015 est.) |
| Literacy: | total population: 81.9% (2015 est.) |
| Literacy: | male: 79.2% (2015 est.) |
| Literacy: | female: 84.5% (2015 est.) |
| Unemployment, youth ages 15-24: | total: 44.9% (2016 est.) |
| Unemployment, youth ages 15-24: | male: 37.7% (2016 est.) |
| Unemployment, youth ages 15-24: | female: 52.5% (2016 est.) |
