| People and Society | Namibia |
| Infant mortality rate: | female: 29.2 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 65.3 years |
| Life expectancy at birth: | male: 63.3 years |
| Life expectancy at birth: | female: 67.3 years (2020 est.) |
| Total fertility rate: | 3.07 children born/woman (2020 est.) |
| Contraceptive prevalence rate: | 56.1% (2013) |
| Drinking water source: | improved: urban: 98.9% of population |
| Drinking water source: | rural: 80.8% of population |
| Drinking water source: | total: 89.7% of population |
| Drinking water source: | unimproved: urban: 1.1% of population |
| Drinking water source: | rural: 19.2% of population |
| Drinking water source: | total: 10.3% of population (2017 est.) |
| Current Health Expenditure: | 8.6% (2017) |
| Physicians density: | 0.59 physicians/1,000 population (2017) |
| Hospital bed density: | 2.7 beds/1,000 population (2009) |
| Sanitation facility access: | improved: urban: 72.9% of population |
| Sanitation facility access: | rural: 22% of population |
| Sanitation facility access: | total: 46.9% of population |
| Sanitation facility access: | unimproved: urban: 27.1% of population |
| Sanitation facility access: | rural: 78% of population |
| Sanitation facility access: | total: 53.1% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | 12.7% (2019 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 210,000 (2019 est.) |
| HIV/AIDS - deaths: | 3,000 (2019 est.) |
| Major infectious diseases: | degree of risk: high (2020) |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria |
| Major infectious diseases: | water contact diseases: schistosomiasis |
| Obesity - adult prevalence rate: | 17.2% (2016) |
| Children under the age of 5 years underweight: | 13.2% (2013) |
| Education expenditures: | 3.1% of GDP (2014) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 91.5% |
| Literacy: | male: 91.6% |
| Literacy: | female: 91.4% (2018) |
| Unemployment, youth ages 15-24: | total: 38% |
| Unemployment, youth ages 15-24: | male: 37.5% |
| Unemployment, youth ages 15-24: | female: 38.5% (2016 est.) |
