| People and Society | Somalia |
| Demographic profile: | As of 2016, more than 1.1 million Somali refugees were hosted in the region, mainly in Kenya, Yemen, Egypt, Ethiopia, Djibouti, and Uganda, while more than 1.1 million Somalis were internally displaced. Since the implementation of a tripartite voluntary repatriation agreement among Kenya, Somalia, and the UNHCR in 2013, nearly 40,000 Somali refugees have returned home from Kenyaâ€™s Dadaab refugee camp â€“ still houses to approximately 260,000 Somalis. The flow sped up rapidly after the Kenyan Government in May 2016 announced its intention to close the camp, worsening security and humanitarian conditions in receiving communities in south-central Somalia. Despite the conflict in Yemen, thousands of Somalis and other refugees and asylum seekers from the Horn of Africa risk their lives crossing the Gulf of Aden to reach Yemen and beyond (often Saudi Arabia). Bossaso in Puntland overtook Obock, Djibouti, as the primary departure point in mid-2014. |
| Age structure: | 0-14 years: 42.87% (male 2,410,215 /female 2,416,629) |
| Age structure: | 15-24 years: 19.35% (male 1,097,358 /female 1,081,762) |
| Age structure: | 25-54 years: 31.23% (male 1,821,823 /female 1,694,873) |
| Age structure: | 55-64 years: 4.35% (male 245,744 /female 243,893) |
| Age structure: | 65 years and over: 2.19% (male 95,845 /female 150,887) (2018 est.) |
| Dependency ratios: | total dependency ratio: 97.4 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 92.1 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 5.3 (2015 est.) |
| Dependency ratios: | potential support ratio: 18.8 (2015 est.) |
| Median age: | total: 18.2 years |
| Median age: | male: 18.4 years |
| Median age: | female: 18 years (2018 est.) |
| Population growth rate: | 2.08% (2018 est.) |
| Birth rate: | 39.3 births/1,000 population (2018 est.) |
| Death rate: | 12.8 deaths/1,000 population (2018 est.) |
| Net migration rate: | -6.5 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | distribution varies greatly throughout the country; least densely populated areas are in the northeast and central regions, as well as areas along the Kenyan border; most populated areas are in and around the cities of Mogadishu, Marka, Boorama, Hargeysa, and Baidoa |
| Urbanization: | urban population: 45% of total population (2018) |
| Urbanization: | rate of urbanization: 4.23% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 2.082 million MOGADISHU (capital) (2018) |
| Sex ratio: | at birth: 1.02 male(s)/female (2017 est.) |
| Sex ratio: | 0-14 years: 1 male(s)/female (2017 est.) |
| Sex ratio: | 15-24 years: 1.02 male(s)/female (2017 est.) |
| Sex ratio: | 25-54 years: 1.07 male(s)/female (2017 est.) |
| Sex ratio: | 55-64 years: 0.96 male(s)/female (2017 est.) |
| Sex ratio: | 65 years and over: 0.64 male(s)/female (2017 est.) |
| Sex ratio: | total population: 1.01 male(s)/female (2017 est.) |
| Maternal mortality rate: | 732 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 93 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 101.4 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | female: 84.3 deaths/1,000 live births (2018 est.) |
| Life expectancy at birth: | total population: 53.2 years (2018 est.) |
| Life expectancy at birth: | male: 51 years (2018 est.) |
| Life expectancy at birth: | female: 55.4 years (2018 est.) |
| Total fertility rate: | 5.7 children born/woman (2018 est.) |
| Physicians density: | 0.03 physicians/1,000 population (2014) |
| Hospital bed density: | 8.7 beds/1,000 population (2014) |
| Drinking water source: | improved: urban: 69.6% of population |
| Drinking water source: | rural: 8.8% of population |
| Drinking water source: | total: 31.7% of population |
| Drinking water source: | unimproved: urban: 30.4% of population |
| Drinking water source: | rural: 91.2% of population |
| Drinking water source: | total: 68.3% of population (2011 est.) |
| Sanitation facility access: | improved: urban: 52% of population (2011 est.) |
| Sanitation facility access: | rural: 6.3% of population (2011 est.) |
| Sanitation facility access: | total: 23.6% of population (2011 est.) |
| Sanitation facility access: | unimproved: urban: 48% of population (2011 est.) |
| Sanitation facility access: | rural: 93.7% of population (2011 est.) |
| Sanitation facility access: | total: 76.4% of population (2011 est.) |
| HIV/AIDS - adult prevalence rate: | 0.1% (2017 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 11,000 (2017 est.) |
| HIV/AIDS - deaths: | <1000 (2017 est.) |
| Major infectious diseases: | degree of risk: very high (2016) |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A and E, and typhoid fever (2016) |
| Major infectious diseases: | vectorborne diseases: dengue fever, malaria, and Rift Valley fever (2016) |
| Major infectious diseases: | water contact diseases: schistosomiasis (2016) |
| Major infectious diseases: | animal contact diseases: rabies (2016) |
| Obesity - adult prevalence rate: | 8.3% (2016) |
| Children under the age of 5 years underweight: | 23% (2009) |
| Education expenditures: | NA |
